Country Name,Year,Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
United Kingdom,1950,50127000.00,--,207.20,--,--,--,--,--,--,--,--,--,--
United Kingdom,1951,50290000.00,--,207.90,--,--,--,--,--,--,--,--,--,--
United Kingdom,1952,50430000.00,--,208.40,--,--,--,--,--,--,--,--,--,--
United Kingdom,1953,50593000.00,--,209.10,--,--,--,--,--,--,--,--,--,--
United Kingdom,1954,50765000.00,--,209.80,--,--,--,--,--,--,--,--,--,--
United Kingdom,1955,50946000.00,--,210.60,--,--,--,--,--,--,--,--,--,--
United Kingdom,1956,51184000.00,--,211.60,--,--,--,--,--,--,--,--,--,--
United Kingdom,1957,51430000.00,--,212.60,--,--,--,--,--,--,--,--,--,--
United Kingdom,1958,51652000.00,--,213.50,--,--,--,--,--,--,--,--,--,--
United Kingdom,1959,51956000.00,--,214.80,--,--,--,--,--,--,--,--,--,--
United Kingdom,1960,52372000.00,--,216.50,--,--,--,--,--,--,--,--,--,--
United Kingdom,1961,52807000.00,--,218.30,--,--,--,--,--,--,--,--,--,--
United Kingdom,1962,53292000.00,--,220.30,--,--,--,--,--,--,--,--,--,--
United Kingdom,1963,53625000.00,--,221.70,--,--,--,--,--,--,--,--,--,--
United Kingdom,1964,53991000.00,--,223.20,--,--,--,--,--,--,--,--,--,--
United Kingdom,1965,54350000.00,--,224.70,--,--,--,--,--,--,--,--,--,--
United Kingdom,1966,54643000.00,--,225.90,--,--,--,--,--,--,--,--,--,--
United Kingdom,1967,54959000.00,--,227.20,--,--,--,--,--,--,--,--,--,--
United Kingdom,1968,55214000.00,--,228.20,--,--,--,--,--,--,--,--,--,--
United Kingdom,1969,55461000.00,--,229.20,--,--,--,--,--,--,--,--,--,--
United Kingdom,1970,55632000.00,--,230.00,--,--,--,--,--,--,--,--,--,--
United Kingdom,1971,55907000.00,--,231.10,--,--,--,--,--,--,--,--,--,--
United Kingdom,1972,56079000.00,--,231.80,--,--,--,--,--,--,--,--,--,--
United Kingdom,1973,56210000.00,--,232.30,--,--,--,--,--,--,--,--,--,--
United Kingdom,1974,56224000.00,--,232.40,--,--,--,--,--,--,--,--,--,--
United Kingdom,1975,56215000.00,--,232.40,--,--,--,--,--,--,--,--,--,--
United Kingdom,1976,56206000.00,--,232.30,--,--,--,--,--,--,--,--,--,--
United Kingdom,1977,56179000.00,--,232.20,--,--,--,--,--,--,--,--,--,--
