,,,,,,,,,,,Dependency Ratio,,,Median Age,,
Name,Region,GENC,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
 -> 1950,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1950,United Kingdom",GB,1950,"5,01,27,000",--,207.2,--,--,--,--,--,--,--,--,--,--
 -> 1951,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1951,United Kingdom",GB,1951,"5,02,90,000",--,207.9,--,--,--,--,--,--,--,--,--,--
 -> 1952,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1952,United Kingdom",GB,1952,"5,04,30,000",--,208.4,--,--,--,--,--,--,--,--,--,--
 -> 1953,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1953,United Kingdom",GB,1953,"5,05,93,000",--,209.1,--,--,--,--,--,--,--,--,--,--
 -> 1954,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1954,United Kingdom",GB,1954,"5,07,65,000",--,209.8,--,--,--,--,--,--,--,--,--,--
 -> 1955,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1955,United Kingdom",GB,1955,"5,09,46,000",--,210.6,--,--,--,--,--,--,--,--,--,--
 -> 1956,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1956,United Kingdom",GB,1956,"5,11,84,000",--,211.6,--,--,--,--,--,--,--,--,--,--
 -> 1957,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1957,United Kingdom",GB,1957,"5,14,30,000",--,212.6,--,--,--,--,--,--,--,--,--,--
 -> 1958,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1958,United Kingdom",GB,1958,"5,16,52,000",--,213.5,--,--,--,--,--,--,--,--,--,--
 -> 1959,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1959,United Kingdom",GB,1959,"5,19,56,000",--,214.8,--,--,--,--,--,--,--,--,--,--
 -> 1960,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1960,United Kingdom",GB,1960,"5,23,72,000",--,216.5,--,--,--,--,--,--,--,--,--,--
 -> 1961,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1961,United Kingdom",GB,1961,"5,28,07,000",--,218.3,--,--,--,--,--,--,--,--,--,--
 -> 1962,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1962,United Kingdom",GB,1962,"5,32,92,000",--,220.3,--,--,--,--,--,--,--,--,--,--
 -> 1963,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1963,United Kingdom",GB,1963,"5,36,25,000",--,221.7,--,--,--,--,--,--,--,--,--,--
 -> 1964,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1964,United Kingdom",GB,1964,"5,39,91,000",--,223.2,--,--,--,--,--,--,--,--,--,--
 -> 1965,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1965,United Kingdom",GB,1965,"5,43,50,000",--,224.7,--,--,--,--,--,--,--,--,--,--
 -> 1966,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1966,United Kingdom",GB,1966,"5,46,43,000",--,225.9,--,--,--,--,--,--,--,--,--,--
 -> 1967,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1967,United Kingdom",GB,1967,"5,49,59,000",--,227.2,--,--,--,--,--,--,--,--,--,--
 -> 1968,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1968,United Kingdom",GB,1968,"5,52,14,000",--,228.2,--,--,--,--,--,--,--,--,--,--
 -> 1969,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1969,United Kingdom",GB,1969,"5,54,61,000",--,229.2,--,--,--,--,--,--,--,--,--,--
 -> 1970,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1970,United Kingdom",GB,1970,"5,56,32,000",--,230,--,--,--,--,--,--,--,--,--,--
 -> 1971,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1971,United Kingdom",GB,1971,"5,59,07,000",--,231.1,--,--,--,--,--,--,--,--,--,--
 -> 1972,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1972,United Kingdom",GB,1972,"5,60,79,000",--,231.8,--,--,--,--,--,--,--,--,--,--
 -> 1973,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1973,United Kingdom",GB,1973,"5,62,10,000",--,232.3,--,--,--,--,--,--,--,--,--,--
 -> 1974,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1974,United Kingdom",GB,1974,"5,62,24,000",--,232.4,--,--,--,--,--,--,--,--,--,--
 -> 1975,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1975,United Kingdom",GB,1975,"5,62,15,000",--,232.4,--,--,--,--,--,--,--,--,--,--
 -> 1976,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1976,United Kingdom",GB,1976,"5,62,06,000",--,232.3,--,--,--,--,--,--,--,--,--,--
 -> 1977,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1977,United Kingdom",GB,1977,"5,61,79,000",--,232.2,--,--,--,--,--,--,--,--,--,--
 -> 1978,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1978,United Kingdom",GB,1978,"5,61,67,000",--,232.2,--,--,--,--,--,--,--,--,--,--
 -> 1979,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1979,United Kingdom",GB,1979,"5,62,28,000",--,232.4,--,--,--,--,--,--,--,--,--,--
 -> 1980,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1980,United Kingdom",GB,1980,"5,63,14,000",--,232.8,--,--,--,--,--,--,--,--,--,--
 -> 1981,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1981,United Kingdom",GB,1981,"5,63,82,597",--,233.1,--,--,--,--,--,--,--,--,--,--
 -> 1982,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1982,United Kingdom",GB,1982,"5,63,30,706",--,232.8,--,--,--,--,--,--,--,--,--,--
 -> 1983,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1983,United Kingdom",GB,1983,"5,63,64,615",--,233,--,--,--,--,--,--,--,--,--,--
 -> 1984,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1984,United Kingdom",GB,1984,"5,64,35,179",--,233.3,--,--,--,--,--,--,--,--,--,--
 -> 1985,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1985,United Kingdom",GB,1985,"5,65,84,077",--,233.9,--,--,--,--,--,--,--,--,--,--
 -> 1986,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1986,United Kingdom",GB,1986,"5,67,50,920",--,234.6,--,--,--,--,--,--,--,--,--,--
 -> 1987,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1987,United Kingdom",GB,1987,"5,69,27,038",--,235.3,--,--,--,--,--,--,--,--,--,--
 -> 1988,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1988,United Kingdom",GB,1988,"5,70,95,731",--,236,--,--,--,--,--,--,--,--,--,--
 -> 1989,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1989,United Kingdom",GB,1989,"5,72,51,270",--,236.6,--,--,--,--,--,--,--,--,--,--
 -> 1990,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1990,United Kingdom",GB,1990,"5,74,10,719",--,237.3,--,--,--,--,--,--,--,--,--,--
 -> 1991,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1991,United Kingdom",GB,1991,"5,75,73,614",0.33,238,1.84,75.8,8.8,0.95,53.7,29.5,24.2,35.8,37.5,34.2
 -> 1992,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1992,United Kingdom",GB,1992,"5,77,35,939",0.23,238.6,1.81,76.2,7.8,0.95,54.2,29.8,24.4,35.9,37.5,34.4
 -> 1993,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1993,United Kingdom",GB,1993,"5,78,54,242",0.18,239.1,1.78,76.1,7.6,0.95,54.5,30.1,24.4,36,37.6,34.6
 -> 1994,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1994,United Kingdom",GB,1994,"5,80,05,686",0.35,239.8,1.76,76.6,7.3,0.96,54.6,30.2,24.4,36.2,37.7,34.8
 -> 1995,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1995,United Kingdom",GB,1995,"5,81,86,803",0.28,240.5,1.73,76.5,7.2,0.96,54.5,30.1,24.4,36.4,37.8,35
 -> 1996,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1996,United Kingdom",GB,1996,"5,83,44,566",0.26,241.2,1.74,76.8,7.2,0.96,54.3,29.9,24.4,36.6,38,35.2
 -> 1997,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1997,United Kingdom",GB,1997,"5,84,94,072",0.25,241.8,1.74,77,6.9,0.96,54.2,29.8,24.4,36.8,38.1,35.5
 -> 1998,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1998,United Kingdom",GB,1998,"5,86,80,367",0.39,242.6,1.74,77.2,6.8,0.96,54,29.7,24.3,37,38.3,35.7
 -> 1999,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"1999,United Kingdom",GB,1999,"5,89,09,682",0.39,243.5,1.71,77.3,6.8,0.96,53.6,29.5,24.1,37.2,38.5,36
 -> 2000,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2000,United Kingdom",GB,2000,"5,91,39,969",0.39,244.5,1.67,77.8,6.4,0.97,53.2,29.2,24,37.5,38.7,36.3
 -> 2001,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2001,United Kingdom",GB,2001,"5,93,74,727",0.4,245.4,1.65,78.1,6.3,0.97,52.8,28.8,24,37.8,38.9,36.6
 -> 2002,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2002,United Kingdom",GB,2002,"5,96,01,520",0.36,246.4,1.66,78.1,6.2,0.97,52.3,28.4,23.9,38,39.2,36.9
 -> 2003,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2003,United Kingdom",GB,2003,"5,98,23,618",0.39,247.3,1.74,78.2,6.4,0.97,51.9,28,23.9,38.3,39.5,37.1
 -> 2004,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2004,United Kingdom",GB,2004,"6,01,26,952",0.63,248.5,1.79,78.8,6.1,0.97,51.5,27.6,23.9,38.5,39.7,37.4
 -> 2005,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2005,United Kingdom",GB,2005,"6,04,87,346",0.57,250,1.81,79,6,0.98,51,27.1,23.9,38.8,39.9,37.6
 -> 2006,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2006,United Kingdom",GB,2006,"6,08,46,808",0.62,251.5,1.88,79.3,6,0.98,50.5,26.7,23.7,39,40.1,37.9
 -> 2007,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2007,United Kingdom",GB,2007,"6,12,49,260",0.7,253.2,1.94,79.5,5.8,0.98,50.2,26.5,23.7,39.2,40.3,38.1
 -> 2008,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2008,United Kingdom",GB,2008,"6,16,57,030",0.62,254.9,1.99,79.7,5.6,0.98,50.3,26.3,23.9,39.4,40.5,38.3
 -> 2009,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2009,United Kingdom",GB,2009,"6,20,49,797",0.65,256.5,1.98,80.2,5.4,0.98,50.6,26.3,24.3,39.6,40.7,38.5
 -> 2010,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2010,United Kingdom",GB,2010,"6,25,02,490",0.81,258.3,2.01,80.5,5.1,0.99,51,26.3,24.6,39.8,40.9,38.7
 -> 2011,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2011,United Kingdom",GB,2011,"6,29,94,194",0.76,260.4,2,80.9,5.1,0.99,51.4,26.4,25,39.9,41.1,38.8
 -> 2012,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2012,United Kingdom",GB,2012,"6,34,48,099",0.68,262.3,2,81,4.8,0.99,52.5,26.6,25.9,40.1,41.2,38.9
 -> 2013,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2013,United Kingdom",GB,2013,"6,38,72,733",0.66,264,1.89,81,4.5,0.99,53.3,26.7,26.6,40.2,41.3,39.1
 -> 2014,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2014,United Kingdom",GB,2014,"6,43,46,449",0.82,266,1.87,81.3,4.5,0.99,53.9,26.8,27.1,40.2,41.3,39.1
 -> 2015,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2015,United Kingdom",GB,2015,"6,48,68,357",0.8,268.1,1.85,81,4.5,0.99,54.3,26.9,27.4,40.2,41.3,39.1
 -> 2016,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2016,United Kingdom",GB,2016,"6,53,44,284",0.67,270.1,1.82,81.2,4.5,0.99,54.7,27,27.7,40.2,41.3,39.1
 -> 2017,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2017,United Kingdom",GB,2017,"6,57,83,069",0.67,271.9,1.76,81.3,4.4,0.99,55.1,27.2,28,40.1,41.2,39.1
 -> 2018,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2018,United Kingdom",GB,2018,"6,61,96,401",0.58,273.6,1.68,81.3,4.3,0.99,55.4,27.2,28.2,40.1,41.2,39.2
 -> 2019,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2019,United Kingdom",GB,2019,"6,66,03,767",0.65,275.3,1.62,81.6,4.5,0.99,55.6,27.1,28.5,40.2,41.1,39.3
 -> 2020,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2020,United Kingdom",GB,2020,"6,70,22,855",0.61,277,1.62,81.7,4.4,0.99,55.7,27,28.7,40.3,41.1,39.5
 -> 2021,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2021,United Kingdom",GB,2021,"6,74,19,123",0.57,278.7,1.63,81.8,4.4,0.99,55.8,26.8,29,40.4,41.2,39.6
 -> 2022,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2022,United Kingdom",GB,2022,"6,77,91,400",0.53,280.2,1.63,81.9,4.4,0.99,56,26.6,29.3,40.5,41.3,39.8
 -> 2023,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2023,United Kingdom",GB,2023,"6,81,38,484",0.49,281.6,1.63,82.1,4.3,0.99,56.2,26.4,29.8,40.6,41.4,39.9
 -> 2024,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
United Kingdom,"2024,United Kingdom",GB,2024,"6,84,59,055",0.45,283,1.63,82.2,4.3,0.99,56.4,26.2,30.2,40.8,41.5,40.1
